xgaus,ygaus
-13.099999999999902,2.2314051645265044e-05
-13.049999999999901,2.439066592297379e-05
-12.9999999999999,2.665066094449071e-05
-12.9499999999999,2.910927661525883e-05
-12.899999999999899,3.178293096333786e-05
-12.849999999999898,3.4689303382498613e-05
-12.799999999999898,3.784742309503188e-05
-12.749999999999897,4.127776310815071e-05
-12.699999999999896,4.500233994806854e-05
-12.649999999999896,4.9044819466108394e-05
-12.599999999999895,5.343062902148211e-05
-12.549999999999894,5.8187076355656346e-05
-12.499999999999893,6.334347548345562e-05
-12.449999999999893,6.893127993619339e-05
-12.399999999999892,7.498422370213569e-05
-12.349999999999891,8.15384702194424e-05
-12.29999999999989,8.863276978633537e-05
-12.24999999999989,9.630862576257782e-05
-12.19999999999989,0.00010461046994534225
-12.149999999999888,0.00011358584751113631
-12.099999999999888,0.00012328561192359559
-12.049999999999887,0.00013376413021454659
-11.999999999999886,0.00014507949905275073
-11.949999999999886,0.00015729377202105665
-11.899999999999885,0.00017047319852825024
-11.849999999999884,0.00018468847478660572
-11.799999999999883,0.00020001500728994138
-11.749999999999883,0.00021653318922972817
-11.699999999999882,0.00023432869028846526
-11.649999999999881,0.0002534927602499504
-11.59999999999988,0.0002741225468651933
-11.54999999999988,0.00029632142841039396
-11.49999999999988,0.00032019936136956244
-11.449999999999878,0.0003458732436688437
-11.399999999999878,0.0003734672938823732
-11.349999999999877,0.0004031134468202996
-11.299999999999876,0.00043495176589851
-11.249999999999876,0.00046913087267629007
-11.199999999999875,0.0005058083939326419
-11.149999999999874,0.0005451514266340946
-11.099999999999874,0.0005873370211264472
-11.049999999999873,0.000632552682859867
-10.999999999999872,0.0006809968929309985
-10.949999999999871,0.0007328796476971126
-10.89999999999987,0.0007884230176856429
-10.84999999999987,0.0008478617259877488
-10.79999999999987,0.000911443746286475
-10.749999999999869,0.0009794309206287632
-10.699999999999868,0.0010520995970057124
-10.649999999999867,0.001129741286757073
-10.599999999999866,0.0012126633417638762
-10.549999999999866,0.0013011896513372484
-10.499999999999865,0.0013956613586516894
-10.449999999999864,0.0014964375965075007
-10.399999999999864,0.0016038962421392917
-10.349999999999863,0.00171843469071582
-10.299999999999862,0.0018404706471005059
-10.249999999999861,0.0019704429353619305
-10.19999999999986,0.002108812325439503
-10.14999999999986,0.002256062376281008
-10.09999999999986,0.002412700294676198
-10.049999999999859,0.0025792578089139295
-9.999999999999858,0.0027562920562894055
-9.949999999999857,0.0029443864833833032
-9.899999999999856,0.003144151757925544
-9.849999999999856,0.0033562266909438823
-9.799999999999855,0.003581279167780848
-9.749999999999854,0.003820007086442491
-9.699999999999854,0.004073139301618891
-9.649999999999853,0.004341436572589471
-9.599999999999852,0.004625692513096364
-9.549999999999851,0.0049267345411364545
-9.49999999999985,0.005245424826487593
-9.44999999999985,0.005582661233647
-9.39999999999985,0.005939378257720748
-9.349999999999849,0.006316547950662378
-9.299999999999848,0.006715180835116688
-9.249999999999847,0.0071363268029821575
-9.199999999999847,0.007581075995662456
-9.149999999999846,0.008050559662834612
-9.099999999999845,0.00854595099641945
-9.049999999999844,0.009068465936298906
-8.999999999999844,0.009619363944185631
-8.949999999999843,0.010199948741913838
-8.899999999999842,0.010811569010285972
-8.849999999999842,0.011455619044480404
-8.79999999999984,0.012133539361898574
-8.74999999999984,0.012846817258209927
-8.69999999999984,0.013596987307237076
-8.649999999999839,0.014385631800215362
-8.599999999999838,0.015214381119858922
-8.549999999999837,0.01608491404457211
-8.499999999999837,0.01699895797805984
-8.449999999999836,0.017958289099515294
-8.399999999999835,0.018964732429498244
-8.349999999999834,0.020020161806563515
-8.299999999999834,0.021126499769656998
-8.249999999999833,0.022285717341267743
-8.199999999999832,0.023499833706309287
-8.149999999999832,0.024770915781701947
-8.099999999999831,0.026101077671642717
-8.04999999999983,0.027492480003578887
-7.9999999999998295,0.028947329139949428
-7.949999999999829,0.030467876260822105
-7.899999999999828,0.03205641631263772
-7.849999999999827,0.03371528681837446
-7.799999999999827,0.0354468665445672
-7.749999999999826,0.0372535740207582
-7.699999999999825,0.03913786590711824
-7.6499999999998245,0.041102235206161644
-7.599999999999824,0.04314920931468368
-7.549999999999823,0.04528134791227809
-7.499999999999822,0.04750124068304209
-7.449999999999822,0.049811504867350066
-7.399999999999821,0.05221478264087458
-7.34999999999982,0.05471373831835181
-7.2999999999998195,0.05731105537993272
-7.249999999999819,0.060009433318327796
-7.199999999999818,0.06281158430534105
-7.149999999999817,0.06572022967680394
-7.099999999999817,0.06873809623535207
-7.049999999999816,0.07186791237094681
-6.999999999999815,0.0751124039995216
-6.9499999999998145,0.07847429032063244
-6.899999999999814,0.0819562793955128
-6.849999999999813,0.085561063547472
-6.799999999999812,0.08929131458713434
-6.749999999999812,0.09314967886559111
-6.699999999999811,0.09713877215913061
-6.64999999999981,0.101261174389816
-6.59999999999981,0.10551942418680121
-6.549999999999809,0.10991601329390877
-6.499999999999808,0.11445338082963345
-6.449999999999807,0.1191339074063877
-6.399999999999807,0.12395990911646301
-6.349999999999806,0.12893363139284258
-6.299999999999805,0.13405724275366696
-6.249999999999805,0.13933282843981964
-6.199999999999804,0.14476238395576374
-6.149999999999803,0.1503478085244223
-6.0999999999998025,0.15609089846754554
-6.049999999999802,0.161993340523658
-5.999999999999801,0.16805670511630763
-5.9499999999998,0.1742824395859616
-5.8999999999998,0.180671861399495
-5.849999999999799,0.18722615135180354
-5.799999999999798,0.19394634677463166
-5.7499999999997975,0.2008333347682467
-5.699999999999797,0.2078878454720962
-5.649999999999796,0.21511044539106816
-5.599999999999795,0.22250153079441828
-5.549999999999795,0.2300613212048397
-5.499999999999794,0.2377898529955241
-5.449999999999793,0.24568697311339324
-5.3999999999997925,0.2537523329469708
-5.349999999999792,0.2619853823576041
-5.299999999999791,0.2703853638929425
-5.24999999999979,0.278951307201721
-5.19999999999979,0.28768202366899026
-5.149999999999789,0.2965761012909698
-5.099999999999788,0.30563189980868233
-5.0499999999997875,0.31484754611944815
-4.999999999999787,0.3242209299851807
-4.949999999999786,0.33374970005622573
-4.899999999999785,0.34343126022922305
-4.849999999999785,0.353262766357148
-4.799999999999784,0.36324112332929553
-4.749999999999783,0.3733629825385211
-4.699999999999783,0.3836247397525287
-4.649999999999782,0.3940225334054119
-4.599999999999781,0.4045522433250088
-4.54999999999978,0.41520948991090995
-4.49999999999978,0.42598963377718335
-4.449999999999779,0.4368877758730387
-4.399999999999778,0.447898758093746
-4.349999999999778,0.45901716439316076
-4.299999999999777,0.4702373224081818
-4.249999999999776,0.48155330560438664
-4.1999999999997755,0.49295893595095464
-4.149999999999775,0.5044477871317944
-4.099999999999774,0.5160131882985588
-4.049999999999773,0.527648228369941
-3.9999999999997726,0.5393457608803157
-3.949999999999772,0.551098409379425
-3.899999999999771,0.5628985733833933
-3.8499999999997705,0.5747384348759278
-3.79999999999977,0.5866099653570849
-3.749999999999769,0.5985049334354979
-3.6999999999997684,0.6104149129584465
-3.6499999999997677,0.6223312916726268
-3.599999999999767,0.6342452804069386
-3.5499999999997662,0.6461479227670753
-3.4999999999997655,0.6580301053301503
-3.449999999999765,0.6698825683260626
-3.399999999999764,0.6816959167907831
-3.3499999999997634,0.6934606321752227
-3.2999999999997627,0.7051670843918639
-3.249999999999762,0.7168055442798716
-3.1999999999997613,0.7283661964679664
-3.1499999999997605,0.7398391526129525
-3.09999999999976,0.7512144649904443
-3.049999999999759,0.7624821404130245
-2.9999999999997584,0.7736321544498257
-2.9499999999997577,0.7846544659203292
-2.899999999999757,0.7955390316340472
-2.8499999999997563,0.8062758213466945
-2.7999999999997556,0.8168548329024642
-2.749999999999755,0.827266107531108
-2.699999999999754,0.8374997452676949
-2.6499999999997534,0.847545920462168
-2.5999999999997527,0.8573948973451637
-2.549999999999752,0.8670370456159877
-2.4999999999997513,0.8764628560181716
-2.4499999999997506,0.885662955867655
-2.39999999999975,0.8946281244983629
-2.349999999999749,0.9033493085897777
-2.2999999999997485,0.9118176373410266
-2.2499999999997478,0.9200244374560473
-2.199999999999747,0.9279612479045313
-2.1499999999997463,0.9356198344235903
-2.0999999999997456,0.9429922037254455
-2.049999999999745,0.9500706173768994
-1.9999999999997442,0.956847605316914
-1.9499999999997435,0.9633159789792913
-1.8999999999997428,0.9694688439882232
-1.849999999999742,0.9752996123953561
-1.7999999999997414,0.9808020144279881
-1.7499999999997407,0.9859701097190904
-1.69999999999974,0.9907982979910069
-1.6499999999997392,0.995281329165947
-1.5999999999997385,0.9994143128777253
-1.5499999999997378,1.0031927273606316
-1.499999999999737,1.0066124276928154
-1.4499999999997364,1.0096696533731544
-1.3999999999997357,1.0123610352122145
-1.349999999999735,1.0146836015196317
-1.2999999999997343,1.016634783572006
-1.2499999999997335,1.018212420347226
-1.1999999999997328,1.0194147625130094
-1.1499999999997321,1.0202404756593544
-1.0999999999997314,1.0206886427665414
-1.0499999999997307,1.0207587659022945
-0.99999999999973,1.0204507671437073
-0.9499999999997293,1.0197649887215419
-0.8999999999997286,1.0187021923865271
-0.8499999999997279,1.0172635579993021
-0.7999999999997272,1.0154506813476527
-0.7499999999997264,1.0132655711966994
-0.6999999999997257,1.0107106455796655
-0.649999999999725,1.0077887273388153
-0.5999999999997243,1.0045030389280734
-0.5499999999997236,1.0008571964907165
-0.4999999999997229,0.9968552032273794
-0.4499999999997222,0.9925014420713952
-0.39999999999972147,0.9878006676902318
-0.34999999999972076,0.9827579978334562
-0.29999999999972005,0.9773789040492613
-0.24999999999971934,0.971669201793125
-0.19999999999971863,0.9656350399536273
-0.14999999999971791,0.9592828898218235
-0.0999999999997172,0.9526195335318616
-0.04999999999971649,0.945652052001734
2.8421709430404007e-13,0.9383878124041558
0.05000000000028493,0.9308344551985779
0.10000000000028564,0.9229998807562508
0.15000000000028635,0.9148922356110738
0.20000000000028706,0.9065198983696622
0.25000000000028777,0.8978914653146822
0.3000000000002885,0.889015735735992
0.3500000000002892,0.8799016970245255
0.4000000000002899,0.8705585095641393
0.4500000000002906,0.8609954914568252
0.5000000000002913,0.8512221031167607
0.550000000000292,0.8412479317686402
0.6000000000002927,0.8310826758855939
0.6500000000002935,0.820736129601761
0.7000000000002942,0.810218167134248
0.7500000000002949,0.7995387272487607
0.8000000000002956,0.7887077978026699
0.8500000000002963,0.7777354003986436
0.900000000000297,0.7666315751812618
0.9500000000002977,0.7554063658082301
1.0000000000002984,0.7440698046269251
1.0500000000002991,0.7326318980860416
1.1000000000002998,0.7211026124110773
1.1500000000003006,0.7094918595712881
1.2000000000003013,0.6978094835645704
1.250000000000302,0.6860652470455073
1.3000000000003027,0.6742688183205251
1.3500000000003034,0.6624297587327737
1.4000000000003041,0.6505575104579684
1.4500000000003048,0.6386613847310113
1.5000000000003055,0.6267505505217603
1.5500000000003062,0.614834023676833
1.600000000000307,0.6029206565428314
1.6500000000003077,0.5910191280848512
1.7000000000003084,0.5791379345126099
1.750000000000309,0.5672853804249816
1.8000000000003098,0.5554695704821944
1.8500000000003105,0.543698401613398
1.9000000000003112,0.5319795557657858
1.950000000000312,0.5203204931999368
2.0000000000003126,0.5087284463345426
2.0500000000003133,0.4972104141422098
2.100000000000314,0.4857731570965781
2.1500000000003148,0.47442319266957556
2.2000000000003155,0.46316679137624905
2.250000000000316,0.45200997336326326
2.300000000000317,0.44095850553585936
2.3500000000003176,0.4300178992168083
2.4000000000003183,0.4191934083296839
2.450000000000319,0.4084900280976276
2.5000000000003197,0.397912494247671
2.5500000000003205,0.3874652827096394
2.600000000000321,0.3771526097976703
2.650000000000322,0.36697843286145376
2.7000000000003226,0.35694645139343767
2.7500000000003233,0.34706010857743536
2.800000000000324,0.33732259326333625
2.8500000000003247,0.32773684235194783
2.9000000000003254,0.3183055435733832
2.950000000000326,0.30903113864187026
3.000000000000327,0.2999158267693762
3.0500000000003276,0.29096156852003113
3.1000000000003283,0.28217008998698095
3.150000000000329,0.2735428872730202
3.2000000000003297,0.26508123125612787
3.2500000000003304,0.2567861726208734
3.300000000000331,0.24865854713655505
3.350000000000332,0.2406989811628969
3.4000000000003325,0.23290789736414078
3.4500000000003332,0.22528552061244642
3.500000000000334,0.2178318840616323
3.5500000000003347,0.2105468353724706
3.6000000000003354,0.2034300430709709
3.650000000000336,0.1964810030213607
3.700000000000337,0.18969904499578696
3.7500000000003375,0.18308333932311957
3.800000000000338,0.1766329035996356
3.850000000000339,0.1703466094447972
3.9000000000003396,0.1642231892858013
3.9500000000003403,0.15826124315508117
4.000000000000341,0.15245924548546402
4.050000000000342,0.1468155518882442
4.1000000000003425,0.14132840590000506
4.150000000000343,0.1359959456846217
4.200000000000344,0.13081621067748717
4.250000000000345,0.1257871481596367
4.300000000000345,0.12090661975008364
4.350000000000346,0.11617240780533167
4.400000000000347,0.11158222171568753
4.4500000000003475,0.1071337040886601
4.500000000000348,0.10282443681039692
4.550000000000349,0.09865194697677673
4.60000000000035,0.09461371268643828
4.65000000000035,0.09070716868868697
4.700000000000351,0.0869297118798734
4.750000000000352,0.08327870664248439
4.800000000000352,0.07975149002182307
4.850000000000353,0.07634537673577806
4.900000000000354,0.07305766401379572
4.950000000000355,0.06988563626176413
5.000000000000355,0.06682656955010047
5.050000000000356,0.06387773592289878
5.100000000000357,0.06103640752653847
5.150000000000357,0.05829986055668521
5.200000000000358,0.05566537902311978
5.250000000000359,0.053130258332319644
5.3000000000003595,0.05069180868818137
5.35000000000036,0.048347358311716285
5.400000000000361,0.04609425648097225
5.450000000000362,0.04392987639283248
5.500000000000362,0.04185161784871685
5.550000000000363,0.03985690976656393
5.600000000000364,0.03794321252179929
5.6500000000003645,0.03610802012030165
5.700000000000365,0.03434886220666036
5.750000000000366,0.03266330591127678
5.800000000000367,0.031048957540098367
5.850000000000367,0.029503464110988906
5.900000000000368,0.028024514740929655
5.950000000000369,0.02660984188841735
6.0000000000003695,0.025257222455573887
6.05000000000037,0.02396447875461199
6.100000000000371,0.022729479343410127
6.150000000000372,0.02155013973503959
6.200000000000372,0.0204244229861585
6.250000000000373,0.01935034016924048
6.300000000000374,0.018325950733642668
6.3500000000003745,0.017349362760537314
6.400000000000375,0.016418733116736348
6.450000000000376,0.015532267512427428
6.500000000000377,0.014688220467816685
6.550000000000377,0.013884895193635338
6.600000000000378,0.013120643390418348
6.650000000000379,0.012393864971402156
6.700000000000379,0.011703007713816894
6.75000000000038,0.011046566843266874
6.800000000000381,0.010423084555802849
